|  Data size |   Stride |   MFLOPS |   Cycles |   Checksum |
|         64 |        1 |    13.74 |    65536 | 8.7360e+04 |
|        128 |        1 |    29.10 |    65536 | 6.9901e+05 |
|        256 |        1 |    59.40 |    65536 | 5.5923e+06 |
|        512 |        1 |   119.10 |    65536 | 4.4739e+07 |
|       1024 |        1 |   242.92 |    65536 | 3.5791e+08 |
|       2048 |        1 |   491.19 |    65536 | 2.8633e+09 |
|       4096 |        1 |   994.70 |    65536 | 2.2906e+10 |
|       8192 |        1 |  1950.06 |    32768 | 1.8325e+11 |
|      16384 |        1 |  3799.02 |    16384 | 1.4660e+12 |
|      32768 |        1 |  6919.09 |     8192 | 1.1728e+13 |
|      65536 |        1 | 11696.97 |     4096 | 9.3825e+13 |
|     131072 |        1 | 17860.71 |     2048 | 7.5060e+14 |
|     262144 |        1 | 25175.28 |     1024 | 6.0048e+15 |
|     524288 |        1 | 32040.91 |      512 | 4.8038e+16 |
|    1048576 |        1 | 34123.61 |      256 | 3.8431e+17 |
|    2097152 |        1 | 33357.45 |      128 | 3.0745e+18 |
|    4194304 |        1 | 35174.63 |       64 | 2.4596e+19 |
|    8388608 |        1 | 36762.50 |       32 | 1.9677e+20 |
|   16777216 |        1 | 37295.72 |       16 | 1.5741e+21 |
|   33554432 |        1 | 37599.10 |        8 | 1.2593e+22 |
|   67108864 |        1 | 37822.68 |        8 | 1.0074e+23 |
|  134217728 |        1 | 37535.23 |        8 | 8.0595e+23 |
|         64 |        2 |    14.71 |    65536 | 4.2656e+04 |
|        128 |        2 |    28.84 |    65536 | 3.4541e+05 |
|        256 |        2 |    58.91 |    65536 | 2.7798e+06 |
|        512 |        2 |   119.76 |    65536 | 2.2304e+07 |
|       1024 |        2 |   238.53 |    65536 | 1.7869e+08 |
|       2048 |        2 |   487.71 |    65536 | 1.4306e+09 |
|       4096 |        2 |   983.59 |    65536 | 1.1449e+10 |
|       8192 |        2 |  1986.80 |    32768 | 9.1609e+10 |
|      16384 |        2 |  3913.26 |    16384 | 7.3294e+11 |
|      32768 |        2 |  7398.73 |     8192 | 5.8638e+12 |
|      65536 |        2 | 13425.75 |     4096 | 4.6911e+13 |
|     131072 |        2 | 21408.92 |     2048 | 3.7530e+14 |
|     262144 |        2 | 34348.20 |     1024 | 3.0024e+15 |
|     524288 |        2 | 48392.43 |      512 | 2.4019e+16 |
|    1048576 |        2 | 39600.02 |      256 | 1.9215e+17 |
|    2097152 |        2 | 35303.30 |      128 | 1.5372e+18 |
|    4194304 |        2 | 37263.49 |       64 | 1.2298e+19 |
|    8388608 |        2 | 38052.17 |       32 | 9.8383e+19 |
|   16777216 |        2 | 38372.07 |       16 | 7.8706e+20 |
|   33554432 |        2 | 38460.80 |        8 | 6.2965e+21 |
|   67108864 |        2 | 38773.00 |        8 | 5.0372e+22 |
|  134217728 |        2 | 38905.39 |        8 | 4.0298e+23 |
|         64 |        4 |    15.79 |    65536 | 2.0320e+04 |
|        128 |        4 |    30.82 |    65536 | 1.6864e+05 |
|        256 |        4 |    59.10 |    65536 | 1.3736e+06 |
|        512 |        4 |   117.76 |    65536 | 1.1087e+07 |
|       1024 |        4 |   240.45 |    65536 | 8.9085e+07 |
|       2048 |        4 |   485.01 |    65536 | 7.1426e+08 |
|       4096 |        4 |   982.38 |    65536 | 5.7203e+09 |
|       8192 |        4 |  2005.83 |    32768 | 4.5788e+10 |
|      16384 |        4 |  4032.74 |    16384 | 3.6640e+11 |
|      32768 |        4 |  7695.72 |     8192 | 2.9316e+12 |
|      65536 |        4 | 14661.86 |     4096 | 2.3455e+13 |
|     131072 |        4 | 24504.12 |     2048 | 1.8764e+14 |
|     262144 |        4 | 41226.32 |     1024 | 1.5012e+15 |
|     524288 |        4 | 62788.42 |      512 | 1.2009e+16 |
|    1048576 |        4 | 44013.16 |      256 | 9.6076e+16 |
|    2097152 |        4 | 35552.99 |      128 | 7.6861e+17 |
|    4194304 |        4 | 37300.88 |       64 | 6.1489e+18 |
|    8388608 |        4 | 38150.35 |       32 | 4.9191e+19 |
|   16777216 |        4 | 38356.57 |       16 | 3.9353e+20 |
|   33554432 |        4 | 38728.01 |        8 | 3.1482e+21 |
|   67108864 |        4 | 39013.19 |        8 | 2.5186e+22 |
|  134217728 |        4 | 39099.53 |        8 | 2.0149e+23 |
|         64 |        8 |    16.09 |    65536 | 9.1840e+03 |
|        128 |        8 |    32.27 |    65536 | 8.0320e+04 |
|        256 |        8 |    61.33 |    65536 | 6.7059e+05 |
|        512 |        8 |   118.66 |    65536 | 5.4781e+06 |
|       1024 |        8 |   237.12 |    65536 | 4.4281e+07 |
|       2048 |        8 |   482.67 |    65536 | 3.5608e+08 |
|       4096 |        8 |   978.48 |    65536 | 2.8560e+09 |
|       8192 |        8 |  1979.56 |    32768 | 2.2877e+10 |
|      16384 |        8 |  4048.22 |    16384 | 1.8313e+11 |
|      32768 |        8 |  7801.99 |     8192 | 1.4655e+12 |
|      65536 |        8 | 15329.55 |     4096 | 1.1726e+13 |
|     131072 |        8 | 25679.85 |     2048 | 9.3817e+13 |
|     262144 |        8 | 43214.96 |     1024 | 7.5057e+14 |
|     524288 |        8 | 68047.28 |      512 | 6.0047e+15 |
|    1048576 |        8 | 48707.36 |      256 | 4.8038e+16 |
|    2097152 |        8 | 35830.63 |      128 | 3.8431e+17 |
|    4194304 |        8 | 37516.94 |       64 | 3.0744e+18 |
|    8388608 |        8 | 38272.69 |       32 | 2.4596e+19 |
|   16777216 |        8 | 38646.94 |       16 | 1.9677e+20 |
|   33554432 |        8 | 39009.46 |        8 | 1.5741e+21 |
|   67108864 |        8 | 38498.09 |        8 | 1.2593e+22 |
|  134217728 |        8 | 39497.36 |        8 | 1.0074e+23 |
|         64 |       16 |    16.08 |    65536 | 3.6800e+03 |
|        128 |       16 |    32.23 |    65536 | 3.6288e+04 |
|        256 |       16 |    63.66 |    65536 | 3.1936e+05 |
|        512 |       16 |   123.64 |    65536 | 2.6744e+06 |
|       1024 |       16 |   242.35 |    65536 | 2.1880e+07 |
|       2048 |       16 |   486.54 |    65536 | 1.7700e+08 |
|       4096 |       16 |   968.91 |    65536 | 1.4238e+09 |
|       8192 |       16 |  1977.77 |    32768 | 1.1422e+10 |
|      16384 |       16 |  4031.16 |    16384 | 9.1500e+10 |
|      32768 |       16 |  7955.32 |     8192 | 7.3250e+11 |
|      65536 |       16 | 15779.91 |     4096 | 5.8620e+12 |
|     131072 |       16 | 26327.31 |     2048 | 4.6904e+13 |
|     262144 |       16 | 41037.15 |     1024 | 3.7527e+14 |
|     524288 |       16 | 62260.86 |      512 | 3.0023e+15 |
|    1048576 |       16 | 47239.01 |      256 | 2.4019e+16 |
|    2097152 |       16 | 37803.41 |      128 | 1.9215e+17 |
|    4194304 |       16 | 39226.77 |       64 | 1.5372e+18 |
|    8388608 |       16 | 40105.22 |       32 | 1.2298e+19 |
|   16777216 |       16 | 40419.00 |       16 | 9.8383e+19 |
|   33554432 |       16 | 40468.11 |        8 | 7.8706e+20 |
|   67108864 |       16 | 40862.41 |        8 | 6.2965e+21 |
|  134217728 |       16 | 40958.40 |        8 | 5.0372e+22 |
|         64 |       32 |    16.05 |    65536 | 1.0560e+03 |
|        128 |       32 |    32.17 |    65536 | 1.4528e+04 |
|        256 |       32 |    65.00 |    65536 | 1.4426e+05 |
|        512 |       32 |   130.63 |    65536 | 1.2736e+06 |
|       1024 |       32 |   258.22 |    65536 | 1.0682e+07 |
|       2048 |       32 |   509.08 |    65536 | 8.7457e+07 |
|       4096 |       32 |  1016.27 |    65536 | 7.0772e+08 |
|       8192 |       32 |  2001.75 |    32768 | 5.6942e+09 |
|      16384 |       32 |  4092.87 |    16384 | 4.5683e+10 |
|      32768 |       32 |  8106.40 |     8192 | 3.6598e+11 |
|      65536 |       32 | 15698.67 |     4096 | 2.9300e+12 |
|     131072 |       32 | 27285.47 |     2048 | 2.3448e+13 |
|     262144 |       32 | 42061.65 |     1024 | 1.8762e+14 |
|     524288 |       32 | 63681.40 |      512 | 1.5011e+15 |
|    1048576 |       32 | 48032.43 |      256 | 1.2009e+16 |
|    2097152 |       32 | 37892.48 |      128 | 9.6075e+16 |
|    4194304 |       32 | 39819.01 |       64 | 7.6861e+17 |
|    8388608 |       32 | 40595.56 |       32 | 6.1489e+18 |
|   16777216 |       32 | 40984.87 |       16 | 4.9191e+19 |
|   33554432 |       32 | 41235.34 |        8 | 3.9353e+20 |
|   67108864 |       32 | 41431.71 |        8 | 3.1482e+21 |
|  134217728 |       32 | 41570.43 |        8 | 2.5186e+22 |
