dtype,op,chains,time
float,+,1,5.00313
double,+,1,5.00357
int32_t,+,1,1.15312
int64_t,+,1,1.14991
float,+,2,2.50155
double,+,2,2.50208
int32_t,+,2,0.839365
int64_t,+,2,0.840153
float,+,4,1.25076
double,+,4,1.25088
int32_t,+,4,0.549076
int64_t,+,4,0.537094
float,+,8,0.625346
double,+,8,0.625384
int32_t,+,8,0.263637
int64_t,+,8,0.26362
float,+,12,0.429355
double,+,12,0.430606
int32_t,+,12,0.229802
int64_t,+,12,0.229808
float,+,16,0.345131
double,+,16,0.345087
int32_t,+,16,0.221061
int64_t,+,16,0.220968
float,+,20,0.319635
double,+,20,0.31963
int32_t,+,20,0.215651
int64_t,+,20,0.212338
float,+,24,0.382217
double,+,24,0.382216
int32_t,+,24,0.202675
int64_t,+,24,0.202557
float,+,32,0.657277
double,+,32,0.660859
int32_t,+,32,0.47045
int64_t,+,32,0.411024
float,+,40,0.486468
double,+,40,0.483838
int32_t,+,40,0.38966
int64_t,+,40,0.376649
float,+,64,0.616767
double,+,64,0.612193
int32_t,+,64,0.60402
int64_t,+,64,0.470131
float,*,1,5.00356
double,*,1,5.00347
int32_t,*,1,2.78208
int64_t,*,1,2.78225
float,*,2,2.50205
double,*,2,2.50172
int32_t,*,2,1.39262
int64_t,*,2,1.3925
float,*,4,1.25087
double,*,4,1.25082
int32_t,*,4,0.694858
int64_t,*,4,0.694924
float,*,8,0.625486
double,*,8,0.62536
int32_t,*,8,0.555883
int64_t,*,8,0.555948
float,*,12,0.429255
double,*,12,0.430756
int32_t,*,12,0.555866
int64_t,*,12,0.555971
float,*,16,0.345093
double,*,16,0.345085
int32_t,*,16,0.555955
int64_t,*,16,0.555927
float,*,20,0.319628
double,*,20,0.319666
int32_t,*,20,0.555961
int64_t,*,20,0.555953
float,*,24,0.382213
double,*,24,0.382196
int32_t,*,24,0.555885
int64_t,*,24,0.555859
float,*,32,0.657173
double,*,32,0.666879
int32_t,*,32,1.04226
int64_t,*,32,1.07702
float,*,40,0.486478
double,*,40,0.483829
int32_t,*,40,1.13972
int64_t,*,40,1.2092
float,*,64,0.616759
double,*,64,0.612724
int32_t,*,64,1.41685
int64_t,*,64,1.2943
float,/,1,16.1233
double,/,1,23.9028
int32_t,/,1,5.00346
int64_t,/,1,5.00352
float,/,2,16.1242
double,/,2,23.9025
int32_t,/,2,2.50174
int64_t,/,2,2.50177
float,/,4,16.1211
double,/,4,23.9057
int32_t,/,4,5.00328
int64_t,/,4,5.00385
float,/,8,16.1212
double,/,8,23.9054
int32_t,/,8,5.00359
int64_t,/,8,5.00301
float,/,12,16.1224
double,/,12,23.9069
int32_t,/,12,5.00286
int64_t,/,12,5.0034
float,/,16,16.1209
double,/,16,23.905
int32_t,/,16,5.00363
int64_t,/,16,5.00349
float,/,20,16.1206
double,/,20,23.9059
int32_t,/,20,5.00379
int64_t,/,20,5.00289
float,/,24,16.121
double,/,24,23.9047
int32_t,/,24,5.00317
int64_t,/,24,5.00296
float,/,32,16.1229
double,/,32,23.9057
int32_t,/,32,5.00288
int64_t,/,32,5.00361
float,/,40,16.2191
double,/,40,24.0169
int32_t,/,40,5.00331
int64_t,/,40,5.00375
float,/,64,16.3919
double,/,64,24.1842
int32_t,/,64,5.00289
int64_t,/,64,5.00348
