dtype,op,chains,time
float,+,1,0.884954
double,+,1,0.884622
int32_t,+,1,0.5905
int64_t,+,1,0.29482
float,+,2,0.4425
double,+,2,0.442583
int32_t,+,2,0.368253
int64_t,+,2,0.3686
float,+,4,0.221361
double,+,4,0.2996
int32_t,+,4,0.210253
int64_t,+,4,0.212639
float,+,8,0.147553
double,+,8,0.147541
int32_t,+,8,0.110666
int64_t,+,8,0.103582
float,+,12,0.14754
double,+,12,0.147591
int32_t,+,12,0.0950536
int64_t,+,12,0.0949189
float,+,16,0.203857
double,+,16,0.203816
int32_t,+,16,0.137329
int64_t,+,16,0.101379
float,+,20,0.203423
double,+,20,0.202479
int32_t,+,20,0.132719
int64_t,+,20,0.132718
float,+,24,0.218388
double,+,24,0.221346
int32_t,+,24,0.159828
int64_t,+,24,0.159787
float,+,32,0.230488
double,+,32,0.230528
int32_t,+,32,0.193677
int64_t,+,32,0.193752
float,+,40,0.243381
double,+,40,0.243331
int32_t,+,40,0.214008
int64_t,+,40,0.213986
float,+,64,0.262711
double,+,64,0.262697
int32_t,+,64,0.235125
int64_t,+,64,0.235184
float,*,1,0.885593
double,*,1,0.885521
int32_t,*,1,0.884787
int64_t,*,1,0.885243
float,*,2,0.442334
double,*,2,0.44235
int32_t,*,2,0.442501
int64_t,*,2,0.442315
float,*,4,0.22118
double,*,4,0.221275
int32_t,*,4,0.295074
int64_t,*,4,0.294996
float,*,8,0.147445
double,*,8,0.147528
int32_t,*,8,0.295007
int64_t,*,8,0.295051
float,*,12,0.147556
double,*,12,0.147545
int32_t,*,12,0.295137
int64_t,*,12,0.295032
float,*,16,0.202735
double,*,16,0.202783
int32_t,*,16,0.295054
int64_t,*,16,0.295081
float,*,20,0.162196
double,*,20,0.16227
int32_t,*,20,0.29506
int64_t,*,20,0.294989
float,*,24,0.147604
double,*,24,0.147549
int32_t,*,24,0.295015
int64_t,*,24,0.29489
float,*,32,0.16589
double,*,32,0.165866
int32_t,*,32,0.298409
int64_t,*,32,0.295034
float,*,40,0.191788
double,*,40,0.19181
int32_t,*,40,0.295064
int64_t,*,40,0.295033
float,*,64,0.230508
double,*,64,0.230477
int32_t,*,64,0.295327
int64_t,*,64,0.295064
float,/,1,2.94883
double,/,1,3.83285
int32_t,/,1,4.12934
int64_t,/,1,4.12789
float,/,2,1.47457
double,/,2,1.91823
int32_t,/,2,2.06446
int64_t,/,2,2.06417
float,/,4,1.03311
double,/,4,1.47517
int32_t,/,4,4.13058
int64_t,/,4,4.13146
float,/,8,1.03198
double,/,8,1.47507
int32_t,/,8,4.13258
int64_t,/,8,4.13257
float,/,12,1.03225
double,/,12,1.47502
int32_t,/,12,4.13369
int64_t,/,12,4.13275
float,/,16,1.03198
double,/,16,1.4747
int32_t,/,16,4.13289
int64_t,/,16,4.1329
float,/,20,1.03216
double,/,20,1.47416
int32_t,/,20,4.13267
int64_t,/,20,4.13211
float,/,24,1.03266
double,/,24,1.47467
int32_t,/,24,4.13165
int64_t,/,24,4.13286
float,/,32,1.03238
double,/,32,1.47441
int32_t,/,32,4.13233
int64_t,/,32,4.13047
float,/,40,1.03219
double,/,40,1.47522
int32_t,/,40,4.13155
int64_t,/,40,4.13198
float,/,64,1.03213
double,/,64,1.4751
int32_t,/,64,4.13163
int64_t,/,64,4.13103
