dtype,op,chains,time
float,+,1,2.39977
double,+,1,2.39972
int32_t,+,1,0.799916
int64_t,+,1,0.7999
float,+,2,1.19989
double,+,2,1.19984
int32_t,+,2,0.599908
int64_t,+,2,0.599908
float,+,4,0.63188
double,+,4,0.602663
int32_t,+,4,0.34996
int64_t,+,4,0.399942
float,+,8,0.349955
double,+,8,0.349944
int32_t,+,8,0.187474
int64_t,+,8,0.187469
float,+,12,0.279987
double,+,12,0.279957
int32_t,+,12,0.166639
int64_t,+,12,0.174975
float,+,16,0.274975
double,+,16,0.274954
int32_t,+,16,0.168731
int64_t,+,16,0.159983
float,+,20,0.199987
double,+,20,0.274961
int32_t,+,20,0.158308
int64_t,+,20,0.158308
float,+,24,0.205533
double,+,24,0.26664
int32_t,+,24,0.149981
int64_t,+,24,0.154145
float,+,32,0.21248
double,+,32,0.206219
int32_t,+,32,0.15179
int64_t,+,32,0.162472
float,+,40,0.304938
double,+,40,0.311249
int32_t,+,40,0.189969
int64_t,+,40,0.17997
float,+,64,0.36606
double,+,64,0.357836
int32_t,+,64,0.349946
int64_t,+,64,0.285529
float,*,1,2.39978
double,*,1,2.39963
int32_t,*,1,1.59976
int64_t,*,1,1.59977
float,*,2,1.19989
double,*,2,1.19981
int32_t,*,2,0.880487
int64_t,*,2,0.899892
float,*,4,0.653414
double,*,4,0.606048
int32_t,*,4,0.517575
int64_t,*,4,0.687911
float,*,8,0.34997
double,*,8,0.349946
int32_t,*,8,0.399941
int64_t,*,8,0.399957
float,*,12,0.279977
double,*,12,0.279957
int32_t,*,12,0.399952
int64_t,*,12,0.39994
float,*,16,0.274979
double,*,16,0.274957
int32_t,*,16,0.399957
int64_t,*,16,0.399943
float,*,20,0.199995
double,*,20,0.274958
int32_t,*,20,0.399937
int64_t,*,20,0.399959
float,*,24,0.205537
double,*,24,0.266628
int32_t,*,24,0.399962
int64_t,*,24,0.399951
float,*,32,0.212478
double,*,32,0.206222
int32_t,*,32,0.399943
int64_t,*,32,0.399938
float,*,40,0.304604
double,*,40,0.315543
int32_t,*,40,0.399961
int64_t,*,40,0.399952
float,*,64,0.35754
double,*,64,0.362047
int32_t,*,64,0.511887
int64_t,*,64,0.401606
float,/,1,6.39931
double,/,1,9.19848
int32_t,/,1,0.799901
int64_t,/,1,0.799897
float,/,2,4.1997
double,/,2,5.94918
int32_t,/,2,2.59959
int64_t,/,2,2.59965
float,/,4,3.39965
double,/,4,4.79922
int32_t,/,4,5.19919
int64_t,/,4,5.19917
float,/,8,3.39954
double,/,8,4.79921
int32_t,/,8,5.19927
int64_t,/,8,5.19916
float,/,12,3.39957
double,/,12,4.79924
int32_t,/,12,5.19916
int64_t,/,12,5.19916
float,/,16,3.39961
double,/,16,4.79942
int32_t,/,16,5.19916
int64_t,/,16,5.19917
float,/,20,3.39963
double,/,20,4.79925
int32_t,/,20,5.19918
int64_t,/,20,5.19922
float,/,24,3.39961
double,/,24,4.79926
int32_t,/,24,5.19926
int64_t,/,24,5.19913
float,/,32,3.39958
double,/,32,4.79936
int32_t,/,32,5.19915
int64_t,/,32,5.19914
float,/,40,3.39959
double,/,40,4.79937
int32_t,/,40,5.19914
int64_t,/,40,5.19916
float,/,64,3.39959
double,/,64,4.79937
int32_t,/,64,5.19914
int64_t,/,64,5.19917
